chimera_id	seq1_id	seq1_file	seq2_id	seq2_file	breakpoints	reversed	ratio	length
chimera_m345494/1288/CCS|F_and_m1379/1080/CCS|F_at_61_reversed_no_5	m345494/1288/CCS|F	Trech_stell.full_and_partial.fasta	m1379/1080/CCS|F	Rhodosporidiobolus.full_and_partial.fasta	61	no	0.05888840674246088	365
chimera_m30374/992/CCS|F_and_m147932/832/CCS|F_at_185_reversed_no_6	m30374/992/CCS|F	Trech_stell.full_and_partial.fasta	m147932/832/CCS|F	Candida.full_and_partial.fasta	185	no	0.09508906705255826	367
chimera_m247885/1383/CCS|F_and_m47823/329/CCS|F_at_123_reversed_no_0	m247885/1383/CCS|F	Olpidium.full_and_partial.fasta	m47823/329/CCS|F	Thermomyces.full_and_partial.fasta	123	no	0.09111062871606816	329
chimera_m170615/847/CCS|F_and_m102070/339/CCS|F_at_163_reversed_no_1	m170615/847/CCS|F	Olpidium.full_and_partial.fasta	m102070/339/CCS|F	Resinicium.full_and_partial.fasta	163	no	0.0861720583150857	339
chimera_m68981/1358/CCS|F_and_m16090/282/CCS|F_at_67_reversed_no_2	m68981/1358/CCS|F	Olpidium.full_and_partial.fasta	m16090/282/CCS|F	Synchytrium.full_and_partial.fasta	67	no	0.06980672294191019	282
chimera_m277669/1175/CCS|F_and_m128900/305/CCS|F_at_181_reversed_no_3	m277669/1175/CCS|F	Olpidium.full_and_partial.fasta	m128900/305/CCS|F	Byssoporia.full_and_partial.fasta	181	no	0.014292745826522013	305
chimera_m83652/829/CCS|F_and_m28104/300/CCS|F_at_101_reversed_no_4	m83652/829/CCS|F	Olpidium.full_and_partial.fasta	m28104/300/CCS|F	Exophiala_pisciphila_1.full_and_partial.fasta	101	no	0.08054529726444941	300
chimera_m224808/1200/CCS|F_and_m261356/783/CCS|F_at_353_reversed_yes_0	m224808/1200/CCS|F	Gomphi_ros.full_and_partial.fasta	m261356/783/CCS|F	Exophiala_sal.full_and_partial.fasta	353	yes	0.09087746181004429	436
chimera_m78829/656/CCS|F_and_m168648/588/CCS|F_at_102_reversed_no_1	m78829/656/CCS|F	Gomphi_ros.full_and_partial.fasta	m168648/588/CCS|F	Trech_stell.full_and_partial.fasta	102	no	0.047660395337914	430
chimera_m277567/1319/CCS|F_and_m465034/817/CCS|T_at_386_reversed_no_2	m277567/1319/CCS|F	Gomphi_ros.full_and_partial.fasta	m465034/817/CCS|T	Cenococcum.full_and_partial.fasta	386	no	0.02539180482861976	436
chimera_m81863/1273/CCS|F_and_m144967/357/CCS|F_at_73_reversed_yes_0	m81863/1273/CCS|F	Thermomyces.full_and_partial.fasta	m144967/357/CCS|F	Leccinum.full_and_partial.fasta	73	yes	0.04922248775855598	357
chimera_m35784/1499/CCS|F_and_m223012/297/CCS|F_at_71_reversed_no_1	m35784/1499/CCS|F	Thermomyces.full_and_partial.fasta	m223012/297/CCS|F	Xylodon.full_and_partial.fasta	71	no	0.05516280729588231	297
chimera_m26350/1288/CCS|F_and_m7233/297/CCS|F_at_218_reversed_no_0	m26350/1288/CCS|F	Filobasidium.full_and_partial.fasta	m7233/297/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	218	no	0.03705209155861697	297
chimera_m164398/614/CCS|F_and_m98932/373/CCS|F_at_111_reversed_no_1	m164398/614/CCS|F	Filobasidium.full_and_partial.fasta	m98932/373/CCS|F	Pseudoplectania_nigrella_1.full_and_partial.fasta	111	no	0.010713616256415079	373
chimera_m1462/1463/CCS|F_and_m285493/348/CCS|F_at_104_reversed_yes_0	m1462/1463/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m285493/348/CCS|F	Xylodon_asperus_1.full_and_partial.fasta	104	yes	0.017051578918923005	348
chimera_m60511/1717/CCS|F_and_m164868/393/CCS|F_at_95_reversed_no_1	m60511/1717/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m164868/393/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	95	no	0.06929500963200645	393
chimera_m8399/1523/CCS|F_and_m276217/340/CCS|F_at_249_reversed_no_2	m8399/1523/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m276217/340/CCS|F	Sphagnurus.full_and_partial.fasta	249	no	0.04314988500555018	340
chimera_m114007/877/CCS|F_and_m24190/577/CCS|F_at_251_reversed_no_3	m114007/877/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m24190/577/CCS|F	Meira.full_and_partial.fasta	251	no	0.03907822267961353	384
chimera_m236886/1328/CCS|F_and_m338563/527/CCS|F_at_128_reversed_no_4	m236886/1328/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m338563/527/CCS|F	Olpidium.full_and_partial.fasta	128	no	0.0814264264253891	342
chimera_m100862/1193/CCS|F_and_m218566/820/CCS|F_at_204_reversed_no_5	m100862/1193/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m218566/820/CCS|F	Arcticomyces.full_and_partial.fasta	204	no	0.09095586282732859	391
chimera_m396392/1544/CCS|F_and_m176175/1245/CCS|F_at_100_reversed_yes_0	m396392/1544/CCS|F	Ustilago.full_and_partial.fasta	m176175/1245/CCS|F	Cystobasidium_laryngis_1.full_and_partial.fasta	100	yes	0.08118268579892544	415
chimera_m302027/1818/CCS|F_and_m27536/346/CCS|F_at_153_reversed_no_1	m302027/1818/CCS|F	Ustilago.full_and_partial.fasta	m27536/346/CCS|F	Scolecobasidium.full_and_partial.fasta	153	no	0.09246814596903333	346
chimera_m203599/1029/CCS|F_and_m347716/1286/CCS|F_at_51_reversed_no_2	m203599/1029/CCS|F	Ustilago.full_and_partial.fasta	m347716/1286/CCS|F	Venturia.full_and_partial.fasta	51	no	0.050461326585156605	461
chimera_m52151/836/CCS|F_and_m209810/735/CCS|F_at_309_reversed_no_3	m52151/836/CCS|F	Ustilago.full_and_partial.fasta	m209810/735/CCS|F	Pseudoplectania_nigrella_1.full_and_partial.fasta	309	no	0.09040447323279953	408
chimera_m68491/1817/CCS|F_and_m48835/1005/CCS|F_at_106_reversed_no_4	m68491/1817/CCS|F	Ustilago.full_and_partial.fasta	m48835/1005/CCS|F	Exidia.full_and_partial.fasta	106	no	0.09009605735698503	461
chimera_m354969/735/CCS|F_and_m272483/271/CCS|F_at_153_reversed_no_0	m354969/735/CCS|F	Candida.full_and_partial.fasta	m272483/271/CCS|F	Hypholoma.full_and_partial.fasta	153	no	0.028215025158413787	271
chimera_m370687/1122/CCS|F_and_m196490/284/CCS|F_at_214_reversed_no_1	m370687/1122/CCS|F	Candida.full_and_partial.fasta	m196490/284/CCS|F	Rhamphospora.full_and_partial.fasta	214	no	0.01677490740845164	284
chimera_m344800/1031/CCS|F_and_m38224/285/CCS|F_at_120_reversed_no_2	m344800/1031/CCS|F	Candida.full_and_partial.fasta	m38224/285/CCS|F	Trech_stell.full_and_partial.fasta	120	no	0.009159363817292529	285
chimera_m4016/1290/CCS|F_and_m358921/574/CCS|F_at_175_reversed_no_0	m4016/1290/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m358921/574/CCS|F	Devriesia.full_and_partial.fasta	175	no	0.028861638563877662	382
chimera_m137352/1828/CCS|F_and_m202079/356/CCS|F_at_144_reversed_no_1	m137352/1828/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m202079/356/CCS|F	Exophiala_sal.full_and_partial.fasta	144	no	0.014959445774095206	356
chimera_m128759/1985/CCS|F_and_m201969/585/CCS|F_at_342_reversed_no_2	m128759/1985/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m201969/585/CCS|F	Mucor_silvaticus_1.full_and_partial.fasta	342	no	0.06945554321075892	426
chimera_m167050/976/CCS|F_and_m90924/361/CCS|F_at_149_reversed_yes_0	m167050/976/CCS|F	Byssoporia.full_and_partial.fasta	m90924/361/CCS|F	Trechispora_hymenocystis_1.full_and_partial.fasta	149	yes	0.03668829841877792	361
chimera_m121583/1435/CCS|F_and_m219211/329/CCS|F_at_252_reversed_no_1	m121583/1435/CCS|F	Byssoporia.full_and_partial.fasta	m219211/329/CCS|F	Rhamphospora.full_and_partial.fasta	252	no	0.053472341431080934	329
chimera_m36792/1158/CCS|F_and_m430723/379/CCS|F_at_206_reversed_no_2	m36792/1158/CCS|F	Byssoporia.full_and_partial.fasta	m430723/379/CCS|F	Rhizidium.full_and_partial.fasta	206	no	0.005346717137691234	379
chimera_m280064/667/CCS|F_and_m152921/377/CCS|F_at_98_reversed_no_3	m280064/667/CCS|F	Byssoporia.full_and_partial.fasta	m152921/377/CCS|F	Peniophora_lycii_1.full_and_partial.fasta	98	no	0.014037262352761606	377
chimera_m116855/835/CCS|F_and_m64344/1060/CCS|F_at_237_reversed_no_4	m116855/835/CCS|F	Byssoporia.full_and_partial.fasta	m64344/1060/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	237	no	0.016422824810440134	391
chimera_m390071/794/CCS|F_and_m179944/316/CCS|F_at_81_reversed_yes_0	m390071/794/CCS|F	Cladophialophora.full_and_partial.fasta	m179944/316/CCS|F	Boletus.full_and_partial.fasta	81	yes	0.0645536564940295	316
chimera_m426876/1389/CCS|F_and_m360951/315/CCS|F_at_83_reversed_no_1	m426876/1389/CCS|F	Cladophialophora.full_and_partial.fasta	m360951/315/CCS|F	Saccharomyces.full_and_partial.fasta	83	no	0.06571735980235308	315
chimera_m429621/930/CCS|F_and_m64361/314/CCS|F_at_64_reversed_no_2	m429621/930/CCS|F	Cladophialophora.full_and_partial.fasta	m64361/314/CCS|F	Ochroconis.full_and_partial.fasta	64	no	0.08052105268146037	314
chimera_m426729/1217/CCS|F_and_m128965/301/CCS|F_at_225_reversed_no_3	m426729/1217/CCS|F	Cladophialophora.full_and_partial.fasta	m128965/301/CCS|F	Hypholoma_capnoides_1.full_and_partial.fasta	225	no	0.01899336008565572	301
chimera_m199554/878/CCS|F_and_m250401/279/CCS|F_at_192_reversed_no_4	m199554/878/CCS|F	Cladophialophora.full_and_partial.fasta	m250401/279/CCS|F	Melampsora.full_and_partial.fasta	192	no	0.008449607716209909	279
chimera_m89355/1902/CCS|F_and_m264597/361/CCS|F_at_196_reversed_yes_0	m89355/1902/CCS|F	Ganoderma.full_and_partial.fasta	m264597/361/CCS|F	Suillus_variegatus_1.full_and_partial.fasta	196	yes	0.09701923126027268	361
chimera_m108563/1069/CCS|F_and_m111824/1530/CCS|F_at_88_reversed_no_1	m108563/1069/CCS|F	Ganoderma.full_and_partial.fasta	m111824/1530/CCS|F	Cystobasidium.full_and_partial.fasta	88	no	0.037250164381021245	354
chimera_m4437/1381/CCS|F_and_m222221/301/CCS|F_at_246_reversed_no_2	m4437/1381/CCS|F	Ganoderma.full_and_partial.fasta	m222221/301/CCS|F	Absidia_caerulea_1.full_and_partial.fasta	246	no	0.029037639988528097	301
chimera_m302844/1039/CCS|F_and_m177661/289/CCS|F_at_91_reversed_no_0	m302844/1039/CCS|F	Arcticomyces.full_and_partial.fasta	m177661/289/CCS|F	Debaryomyces.full_and_partial.fasta	91	no	0.09919446986825578	289
chimera_m161990/1483/CCS|F_and_m139557/313/CCS|F_at_187_reversed_no_1	m161990/1483/CCS|F	Arcticomyces.full_and_partial.fasta	m139557/313/CCS|F	Absidia_caerulea_1.full_and_partial.fasta	187	no	0.024997681726998816	313
chimera_m417333/545/CCS|F_and_m154064/542/CCS|F_at_235_reversed_no_2	m417333/545/CCS|F	Arcticomyces.full_and_partial.fasta	m154064/542/CCS|F	Olpidium.full_and_partial.fasta	235	no	0.06944969436755767	320
chimera_m105424/1288/CCS|F_and_m139619/334/CCS|F_at_131_reversed_no_3	m105424/1288/CCS|F	Arcticomyces.full_and_partial.fasta	m139619/334/CCS|F	Gymnopus_pseudomphalodes_1.full_and_partial.fasta	131	no	0.018457377296795877	334
chimera_m366524/1700/CCS|F_and_m360951/315/CCS|F_at_101_reversed_no_4	m366524/1700/CCS|F	Arcticomyces.full_and_partial.fasta	m360951/315/CCS|F	Saccharomyces.full_and_partial.fasta	101	no	0.052906498414222056	315
chimera_m384265/1183/CCS|F_and_m152612/319/CCS|F_at_165_reversed_no_5	m384265/1183/CCS|F	Arcticomyces.full_and_partial.fasta	m152612/319/CCS|F	Circinella.full_and_partial.fasta	165	no	0.07084139516054706	319
chimera_m192927/1050/CCS|F_and_m128965/301/CCS|F_at_154_reversed_yes_0	m192927/1050/CCS|F	Fomitopsis.full_and_partial.fasta	m128965/301/CCS|F	Hypholoma_capnoides_1.full_and_partial.fasta	154	yes	0.04464708553452612	301
chimera_m260649/1609/CCS|F_and_m355072/368/CCS|F_at_257_reversed_no_1	m260649/1609/CCS|F	Fomitopsis.full_and_partial.fasta	m355072/368/CCS|F	Geranomyces.full_and_partial.fasta	257	no	0.02175480982483491	368
chimera_m138612/1102/CCS|F_and_m250624/1304/CCS|F_at_110_reversed_no_2	m138612/1102/CCS|F	Fomitopsis.full_and_partial.fasta	m250624/1304/CCS|F	Venturia.full_and_partial.fasta	110	no	0.044051090172276194	375
chimera_m19811/650/CCS|F_and_m300888/339/CCS|F_at_120_reversed_yes_0	m19811/650/CCS|F	Exidia.full_and_partial.fasta	m300888/339/CCS|F	Saccharomyces.full_and_partial.fasta	120	yes	0.0799175261210442	339
chimera_m278241/1769/CCS|F_and_m174506/1065/CCS|T_at_95_reversed_yes_0	m278241/1769/CCS|F	Chrysomyxa.full_and_partial.fasta	m174506/1065/CCS|T	Cenococcum.full_and_partial.fasta	95	yes	0.0065789008045291225	388
chimera_m225817/589/CCS|F_and_m246509/1187/CCS|F_at_157_reversed_no_1	m225817/589/CCS|F	Chrysomyxa.full_and_partial.fasta	m246509/1187/CCS|F	Naganishia_diffluens_1.full_and_partial.fasta	157	no	0.06782733716003475	369
chimera_m201330/915/CCS|F_and_m253504/499/CCS|F_at_116_reversed_no_2	m201330/915/CCS|F	Chrysomyxa.full_and_partial.fasta	m253504/499/CCS|F	Cystofilobasidium_lari-marini_1.full_and_partial.fasta	116	no	0.012375320622563232	394
chimera_m192687/1512/CCS|F_and_m26241/385/CCS|F_at_264_reversed_no_3	m192687/1512/CCS|F	Chrysomyxa.full_and_partial.fasta	m26241/385/CCS|F	Symmetrospora_symmetrica_1.full_and_partial.fasta	264	no	0.05129624064900978	385
chimera_m1438/1236/CCS|F_and_m216703/1854/CCS|F_at_259_reversed_no_4	m1438/1236/CCS|F	Chrysomyxa.full_and_partial.fasta	m216703/1854/CCS|F	Pseudoplectania.full_and_partial.fasta	259	no	0.06336063236379536	385
chimera_m31503/1231/CCS|F_and_m395183/308/CCS|F_at_153_reversed_no_0	m31503/1231/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m395183/308/CCS|F	Leccinum.full_and_partial.fasta	153	no	0.002796397252715188	308
chimera_m71818/1298/CCS|F_and_m148358/547/CCS|F_at_143_reversed_no_1	m71818/1298/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m148358/547/CCS|F	Phallus.full_and_partial.fasta	143	no	0.005493966724319788	392
chimera_m246595/1780/CCS|F_and_m57007/317/CCS|F_at_248_reversed_no_2	m246595/1780/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m57007/317/CCS|F	Anthracocystis.full_and_partial.fasta	248	no	0.01611069609252723	317
chimera_m130666/1013/CCS|F_and_m276298/369/CCS|F_at_283_reversed_no_3	m130666/1013/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m276298/369/CCS|F	Xenasmatella.full_and_partial.fasta	283	no	0.0891281674284484	369
chimera_m210113/933/CCS|F_and_m86115/293/CCS|F_at_193_reversed_yes_0	m210113/933/CCS|F	Cerrena.full_and_partial.fasta	m86115/293/CCS|F	Pluteus.full_and_partial.fasta	193	yes	0.02452202089854738	293
chimera_m201158/1150/CCS|F_and_m276217/340/CCS|F_at_69_reversed_no_1	m201158/1150/CCS|F	Cerrena.full_and_partial.fasta	m276217/340/CCS|F	Sphagnurus.full_and_partial.fasta	69	no	0.08871680140490991	340
chimera_m151216/1044/CCS|F_and_m297731/324/CCS|F_at_273_reversed_no_2	m151216/1044/CCS|F	Cerrena.full_and_partial.fasta	m297731/324/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	273	no	0.06585230650749715	324
chimera_m138779/1108/CCS|F_and_m238945/337/CCS|F_at_124_reversed_no_3	m138779/1108/CCS|F	Cerrena.full_and_partial.fasta	m238945/337/CCS|F	Gomphi_ros.full_and_partial.fasta	124	no	0.08816245584909366	337
chimera_m100240/1564/CCS|F_and_m139619/334/CCS|F_at_137_reversed_yes_0	m100240/1564/CCS|F	Minutisphaera.full_and_partial.fasta	m139619/334/CCS|F	Gymnopus_pseudomphalodes_1.full_and_partial.fasta	137	yes	0.07689341436798217	334
chimera_m48977/1765/CCS|F_and_m227944/918/CCS|F_at_149_reversed_no_1	m48977/1765/CCS|F	Minutisphaera.full_and_partial.fasta	m227944/918/CCS|F	Olpidium.full_and_partial.fasta	149	no	0.0897644179348185	350
chimera_m314554/1192/CCS|F_and_m147891/1040/CCS|F_at_108_reversed_no_0	m314554/1192/CCS|F	Sphagnurus.full_and_partial.fasta	m147891/1040/CCS|F	Cystobasidium_psychroaquaticum_1.full_and_partial.fasta	108	no	0.008730426646806816	379
chimera_m126605/1002/CCS|F_and_m71796/278/CCS|F_at_150_reversed_no_1	m126605/1002/CCS|F	Sphagnurus.full_and_partial.fasta	m71796/278/CCS|F	Xylodon.full_and_partial.fasta	150	no	0.07085822624863257	278
chimera_m126605/1002/CCS|F_and_m129389/1271/CCS|F_at_174_reversed_no_2	m126605/1002/CCS|F	Sphagnurus.full_and_partial.fasta	m129389/1271/CCS|F	Itersonilia.full_and_partial.fasta	174	no	0.09101096855281456	407
chimera_m241039/1618/CCS|F_and_m268011/373/CCS|F_at_309_reversed_no_0	m241039/1618/CCS|F	Minimedusa.full_and_partial.fasta	m268011/373/CCS|F	Dendrochytridium.full_and_partial.fasta	309	no	0.05905760986092192	373
chimera_m197118/1452/CCS|F_and_m370949/844/CCS|F_at_128_reversed_no_1	m197118/1452/CCS|F	Minimedusa.full_and_partial.fasta	m370949/844/CCS|F	Exophiala.full_and_partial.fasta	128	no	0.041174759122730796	398
chimera_m63823/847/CCS|F_and_m366006/298/CCS|F_at_244_reversed_no_2	m63823/847/CCS|F	Minimedusa.full_and_partial.fasta	m366006/298/CCS|F	Gonapodya.full_and_partial.fasta	244	no	0.0639943615511546	298
chimera_m117503/1515/CCS|F_and_m293731/1441/CCS|F_at_291_reversed_yes_0	m117503/1515/CCS|F	Gonapodya.full_and_partial.fasta	m293731/1441/CCS|F	Exophiala_cancerae_1.full_and_partial.fasta	291	yes	0.005012123317986866	536
chimera_m474033/1824/CCS|F_and_m6476/1268/CCS|F_at_71_reversed_no_1	m474033/1824/CCS|F	Gonapodya.full_and_partial.fasta	m6476/1268/CCS|F	Ochroconis.full_and_partial.fasta	71	no	0.026985750268629774	623
chimera_m315752/2171/CCS|F_and_m29515/1315/CCS|F_at_210_reversed_no_2	m315752/2171/CCS|F	Gonapodya.full_and_partial.fasta	m29515/1315/CCS|F	Rhizophlyctis.full_and_partial.fasta	210	no	0.040126384373676764	620
chimera_m211970/1110/CCS|F_and_m274603/784/CCS|F_at_330_reversed_no_3	m211970/1110/CCS|F	Gonapodya.full_and_partial.fasta	m274603/784/CCS|F	Exophiala_sal.full_and_partial.fasta	330	no	0.015239656379955932	541
chimera_m359104/747/CCS|F_and_m202876/1712/CCS|F_at_111_reversed_no_4	m359104/747/CCS|F	Gonapodya.full_and_partial.fasta	m202876/1712/CCS|F	Clavaria.full_and_partial.fasta	111	no	0.08475343799687075	481
chimera_m325571/1732/CCS|F_and_m124248/1219/CCS|F_at_82_reversed_no_5	m325571/1732/CCS|F	Gonapodya.full_and_partial.fasta	m124248/1219/CCS|F	Botryobasidium.full_and_partial.fasta	82	no	0.06249168870992746	421
chimera_m463136/1215/CCS|F_and_m233497/1123/CCS|F_at_264_reversed_yes_0	m463136/1215/CCS|F	Rhizidium.full_and_partial.fasta	m233497/1123/CCS|F	Peniophora_nuda_1.full_and_partial.fasta	264	yes	0.014799883401806505	434
chimera_m96656/1114/CCS|F_and_m240086/1398/CCS|F_at_348_reversed_no_1	m96656/1114/CCS|F	Rhizidium.full_and_partial.fasta	m240086/1398/CCS|F	Peniophora_quercina_1.full_and_partial.fasta	348	no	0.02741541157681604	415
chimera_m354463/1263/CCS|F_and_m49980/644/CCS|F_at_118_reversed_no_2	m354463/1263/CCS|F	Rhizidium.full_and_partial.fasta	m49980/644/CCS|F	Coralloidiomyces.full_and_partial.fasta	118	no	0.07577363218811232	444
