chimera_id	seq1_id	seq1_file	seq2_id	seq2_file	breakpoints	reversed	ratio	length
chimera_m206876/1407/CCS|F_and_m161103/308/CCS|F_at_167_reversed_no_5	m206876/1407/CCS|F	Arthrinium.full_and_partial.fasta	m161103/308/CCS|F	Malassezia.full_and_partial.fasta	167	no	0.008565531259755135	308
chimera_m172630/1366/CCS|F_and_m259486/994/CCS|F_at_56_reversed_no_0	m172630/1366/CCS|F	Boletus.full_and_partial.fasta	m259486/994/CCS|F	Bensingtonia.full_and_partial.fasta	56	no	0.04158024526344857	415
chimera_m88345/1926/CCS|F_and_m119079/935/CCS|F_at_279_reversed_no_1	m88345/1926/CCS|F	Boletus.full_and_partial.fasta	m119079/935/CCS|F	Candida.full_and_partial.fasta	279	no	0.02943806269528948	425
chimera_m144368/1040/CCS|F_and_m31175/426/CCS|F_at_29_reversed_no_2	m144368/1040/CCS|F	Boletus.full_and_partial.fasta	m31175/426/CCS|F	Amauroascus.full_and_partial.fasta	29	no	0.09102230141559227	382
chimera_m92860/1164/CCS|F_and_m98725/291/CCS|F_at_47_reversed_no_3	m92860/1164/CCS|F	Boletus.full_and_partial.fasta	m98725/291/CCS|F	Oedocephalum.full_and_partial.fasta	47	no	0.08013355965456785	291
chimera_m275326/1501/CCS|F_and_m35152/1017/CCS|F_at_411_reversed_no_4	m275326/1501/CCS|F	Boletus.full_and_partial.fasta	m35152/1017/CCS|F	Cystobasidium_laryngis_1.full_and_partial.fasta	411	no	0.0026816062371223526	411
chimera_m367480/1066/CCS|F_and_m23933/1364/CCS|F_at_108_reversed_no_5	m367480/1066/CCS|F	Boletus.full_and_partial.fasta	m23933/1364/CCS|F	Harzia.full_and_partial.fasta	108	no	0.010852923018975516	441
chimera_m247272/1358/CCS|F_and_m250449/1088/CCS|F_at_255_reversed_yes_0	m247272/1358/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m250449/1088/CCS|F	Stropharia.full_and_partial.fasta	255	yes	0.00616043691634556	442
chimera_m228357/887/CCS|F_and_m64344/1060/CCS|F_at_115_reversed_no_1	m228357/887/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m64344/1060/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	115	no	0.02710744474272768	391
chimera_m16055/1185/CCS|F_and_m98941/1004/CCS|F_at_327_reversed_no_2	m16055/1185/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m98941/1004/CCS|F	Bensingtonia.full_and_partial.fasta	327	no	0.04989148141395905	392
chimera_m254338/1326/CCS|F_and_m101580/811/CCS|F_at_56_reversed_no_0	m254338/1326/CCS|F	Ochroconis.full_and_partial.fasta	m101580/811/CCS|F	Exophiala_sal.full_and_partial.fasta	56	no	0.01243854748099027	411
chimera_m177017/941/CCS|F_and_m145712/286/CCS|F_at_300_reversed_no_1	m177017/941/CCS|F	Ochroconis.full_and_partial.fasta	m145712/286/CCS|F	Cerrena.full_and_partial.fasta	300	no	0.07443407321573756	300
chimera_m105447/1709/CCS|F_and_m156948/1461/CCS|F_at_374_reversed_no_2	m105447/1709/CCS|F	Ochroconis.full_and_partial.fasta	m156948/1461/CCS|F	Buckleyzyma.full_and_partial.fasta	374	no	0.03899985292928337	415
chimera_m207111/1222/CCS|F_and_m191440/1379/CCS|F_at_35_reversed_no_3	m207111/1222/CCS|F	Ochroconis.full_and_partial.fasta	m191440/1379/CCS|F	Itersonilia.full_and_partial.fasta	35	no	0.06970858200065264	410
chimera_m290655/756/CCS|F_and_m119071/1022/CCS|F_at_322_reversed_no_4	m290655/756/CCS|F	Ochroconis.full_and_partial.fasta	m119071/1022/CCS|F	Cystobasidium.full_and_partial.fasta	322	no	0.06807618558171198	350
chimera_m336535/1057/CCS|F_and_m182037/672/CCS|F_at_125_reversed_yes_0	m336535/1057/CCS|F	Trech_stell.full_and_partial.fasta	m182037/672/CCS|F	Cystfiloba.full_and_partial.fasta	125	yes	0.020798711268029554	367
chimera_m219298/1617/CCS|F_and_m141184/300/CCS|F_at_110_reversed_no_1	m219298/1617/CCS|F	Trech_stell.full_and_partial.fasta	m141184/300/CCS|F	Saccharomyces.full_and_partial.fasta	110	no	0.008255734043392138	300
chimera_m87228/1681/CCS|F_and_m11386/353/CCS|F_at_214_reversed_no_2	m87228/1681/CCS|F	Trech_stell.full_and_partial.fasta	m11386/353/CCS|F	Malassezia_globosa_1.full_and_partial.fasta	214	no	0.057280144563838335	353
chimera_m348533/1375/CCS|F_and_m35665/1055/CCS|F_at_147_reversed_no_3	m348533/1375/CCS|F	Trech_stell.full_and_partial.fasta	m35665/1055/CCS|F	Cystobasidium_psychroaquaticum_1.full_and_partial.fasta	147	no	0.021565000298459397	349
chimera_m150703/1088/CCS|F_and_m262380/376/CCS|F_at_49_reversed_no_4	m150703/1088/CCS|F	Trech_stell.full_and_partial.fasta	m262380/376/CCS|F	Ustilago.full_and_partial.fasta	49	no	0.016502310646706472	376
chimera_m66662/1517/CCS|F_and_m63175/732/CCS|T_at_311_reversed_no_5	m66662/1517/CCS|F	Trech_stell.full_and_partial.fasta	m63175/732/CCS|T	Cenococcum.full_and_partial.fasta	311	no	0.02545795210472608	356
chimera_m224567/1026/CCS|F_and_m34568/581/CCS|F_at_362_reversed_no_6	m224567/1026/CCS|F	Trech_stell.full_and_partial.fasta	m34568/581/CCS|F	Coralloidiomyces.full_and_partial.fasta	362	no	0.005750892078910497	366
chimera_m319936/1259/CCS|F_and_m58444/277/CCS|F_at_177_reversed_no_0	m319936/1259/CCS|F	Olpidium.full_and_partial.fasta	m58444/277/CCS|F	Exophiala_xenobiotica_1.full_and_partial.fasta	177	no	0.08217946857239716	277
chimera_m328466/1315/CCS|F_and_m8072/323/CCS|F_at_240_reversed_no_1	m328466/1315/CCS|F	Olpidium.full_and_partial.fasta	m8072/323/CCS|F	Cladophialophora.full_and_partial.fasta	240	no	0.06049069989350335	323
chimera_m263009/1054/CCS|F_and_m360951/315/CCS|F_at_166_reversed_no_2	m263009/1054/CCS|F	Olpidium.full_and_partial.fasta	m360951/315/CCS|F	Saccharomyces.full_and_partial.fasta	166	no	0.06381562734977606	315
chimera_m237859/1304/CCS|F_and_m377314/331/CCS|F_at_182_reversed_no_3	m237859/1304/CCS|F	Olpidium.full_and_partial.fasta	m377314/331/CCS|F	Cantharellula.full_and_partial.fasta	182	no	0.009837693176093704	331
chimera_m72196/2029/CCS|F_and_m94093/333/CCS|F_at_55_reversed_no_4	m72196/2029/CCS|F	Olpidium.full_and_partial.fasta	m94093/333/CCS|F	Gymnopus_pseudomphalodes_1.full_and_partial.fasta	55	no	0.0743621195964737	333
chimera_m52416/1463/CCS|F_and_m84966/695/CCS|F_at_64_reversed_yes_0	m52416/1463/CCS|F	Gomphi_ros.full_and_partial.fasta	m84966/695/CCS|F	Gymnopus_junquilleus_1.full_and_partial.fasta	64	yes	0.00882241666741114	454
chimera_m235961/1365/CCS|F_and_m187186/430/CCS|F_at_258_reversed_no_1	m235961/1365/CCS|F	Gomphi_ros.full_and_partial.fasta	m187186/430/CCS|F	Cladophialophora.full_and_partial.fasta	258	no	0.008781349821916334	381
chimera_m9619/973/CCS|F_and_m14703/354/CCS|F_at_96_reversed_no_2	m9619/973/CCS|F	Gomphi_ros.full_and_partial.fasta	m14703/354/CCS|F	Chrysomyxa_pyrolata_1.full_and_partial.fasta	96	no	0.03348797975631024	354
chimera_m265627/1337/CCS|F_and_m240739/613/CCS|F_at_184_reversed_no_3	m265627/1337/CCS|F	Gomphi_ros.full_and_partial.fasta	m240739/613/CCS|F	Clavaria.full_and_partial.fasta	184	no	0.024196639402441322	426
chimera_m149794/1201/CCS|F_and_m180612/312/CCS|F_at_240_reversed_yes_0	m149794/1201/CCS|F	Thermomyces.full_and_partial.fasta	m180612/312/CCS|F	Dendrochytridium.full_and_partial.fasta	240	yes	0.05498622223415827	312
chimera_m151642/1040/CCS|F_and_m107817/305/CCS|F_at_307_reversed_no_1	m151642/1040/CCS|F	Thermomyces.full_and_partial.fasta	m107817/305/CCS|F	Hypholoma.full_and_partial.fasta	307	no	0.04252202034538493	307
chimera_m107311/1091/CCS|F_and_m350744/342/CCS|F_at_222_reversed_no_2	m107311/1091/CCS|F	Thermomyces.full_and_partial.fasta	m350744/342/CCS|F	Rhizopogon.full_and_partial.fasta	222	no	0.0826165780668642	342
chimera_m166502/919/CCS|F_and_m135348/697/CCS|F_at_341_reversed_yes_0	m166502/919/CCS|F	Filobasidium.full_and_partial.fasta	m135348/697/CCS|F	Rhodotorula_mucilaginosa_1.full_and_partial.fasta	341	yes	0.011732256925079357	365
chimera_m79742/1139/CCS|F_and_m16991/1515/CCS|F_at_298_reversed_no_1	m79742/1139/CCS|F	Filobasidium.full_and_partial.fasta	m16991/1515/CCS|F	Exobasidium.full_and_partial.fasta	298	no	0.007644639834514175	368
chimera_m48039/820/CCS|F_and_m90666/350/CCS|F_at_8_reversed_no_0	m48039/820/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m90666/350/CCS|F	Phaeoclavulina.full_and_partial.fasta	8	no	0.07439429274429951	350
chimera_m57860/1235/CCS|F_and_m83385/1243/CCS|F_at_291_reversed_no_1	m57860/1235/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m83385/1243/CCS|F	Sistotremastrum.full_and_partial.fasta	291	no	0.08276547437261571	385
chimera_m171391/882/CCS|F_and_m193040/344/CCS|F_at_48_reversed_no_2	m171391/882/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m193040/344/CCS|F	Mucor_silvaticus_1.full_and_partial.fasta	48	no	0.021218855576685042	344
chimera_m162038/859/CCS|F_and_m272960/370/CCS|F_at_182_reversed_no_3	m162038/859/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m272960/370/CCS|F	Arcticomyces.full_and_partial.fasta	182	no	0.06460856332401747	370
chimera_m60511/1717/CCS|F_and_m38100/341/CCS|F_at_227_reversed_no_4	m60511/1717/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m38100/341/CCS|F	Cyberlindnera.full_and_partial.fasta	227	no	0.07690780606697084	341
chimera_m182875/1811/CCS|F_and_m289312/1112/CCS|T_at_248_reversed_no_5	m182875/1811/CCS|F	Phaeoclavulina_apiculata_1.full_and_partial.fasta	m289312/1112/CCS|T	Cenococcum.full_and_partial.fasta	248	no	0.03937197782559202	374
chimera_m361023/1446/CCS|F_and_m221954/434/CCS|F_at_249_reversed_yes_0	m361023/1446/CCS|F	Ustilago.full_and_partial.fasta	m221954/434/CCS|F	Xylodon_brevisetus_1.full_and_partial.fasta	249	yes	0.08375065838978803	434
chimera_m229743/1260/CCS|F_and_m340355/1206/CCS|F_at_113_reversed_no_1	m229743/1260/CCS|F	Ustilago.full_and_partial.fasta	m340355/1206/CCS|F	Xenasmatella.full_and_partial.fasta	113	no	0.04115272563287881	408
chimera_m249306/1163/CCS|F_and_m66285/716/CCS|F_at_92_reversed_no_2	m249306/1163/CCS|F	Ustilago.full_and_partial.fasta	m66285/716/CCS|F	Suillus.full_and_partial.fasta	92	no	0.09244268827009755	472
chimera_m135716/817/CCS|F_and_m235284/714/CCS|F_at_262_reversed_no_3	m135716/817/CCS|F	Ustilago.full_and_partial.fasta	m235284/714/CCS|F	Filobasidium.full_and_partial.fasta	262	no	0.003917899176384743	393
chimera_m240692/1294/CCS|F_and_m38172/583/CCS|F_at_151_reversed_no_4	m240692/1294/CCS|F	Ustilago.full_and_partial.fasta	m38172/583/CCS|F	Symmetrospora_symmetrica_1.full_and_partial.fasta	151	no	0.08934807759428473	424
chimera_m23982/680/CCS|F_and_m67816/989/CCS|F_at_52_reversed_no_5	m23982/680/CCS|F	Ustilago.full_and_partial.fasta	m67816/989/CCS|F	Cystobasidium_psychroaquaticum_1.full_and_partial.fasta	52	no	0.03518234289490316	437
chimera_m108172/928/CCS|F_and_m305255/329/CCS|F_at_307_reversed_no_6	m108172/928/CCS|F	Ustilago.full_and_partial.fasta	m305255/329/CCS|F	Russula.full_and_partial.fasta	307	no	0.044831687066898766	329
chimera_m361023/1446/CCS|F_and_m245213/675/CCS|F_at_66_reversed_no_7	m361023/1446/CCS|F	Ustilago.full_and_partial.fasta	m245213/675/CCS|F	Venturia.full_and_partial.fasta	66	no	0.07632531714726812	398
chimera_m13893/986/CCS|F_and_m96243/878/CCS|F_at_262_reversed_no_8	m13893/986/CCS|F	Ustilago.full_and_partial.fasta	m96243/878/CCS|F	Burgoa.full_and_partial.fasta	262	no	0.047016126695964625	438
chimera_m326458/1629/CCS|F_and_m250401/279/CCS|F_at_234_reversed_no_0	m326458/1629/CCS|F	Candida.full_and_partial.fasta	m250401/279/CCS|F	Melampsora.full_and_partial.fasta	234	no	0.07615240734950976	279
chimera_m267824/1048/CCS|F_and_m94360/287/CCS|F_at_74_reversed_no_1	m267824/1048/CCS|F	Candida.full_and_partial.fasta	m94360/287/CCS|F	Ustilago_filiformis_1.full_and_partial.fasta	74	no	0.004957935435906682	287
chimera_m417012/613/CCS|F_and_m80402/271/CCS|F_at_124_reversed_no_2	m417012/613/CCS|F	Candida.full_and_partial.fasta	m80402/271/CCS|F	Tausonia.full_and_partial.fasta	124	no	0.0802090278845303	271
chimera_m89384/1294/CCS|F_and_m80402/271/CCS|F_at_56_reversed_no_3	m89384/1294/CCS|F	Candida.full_and_partial.fasta	m80402/271/CCS|F	Tausonia.full_and_partial.fasta	56	no	0.08822376418233939	271
chimera_m329148/1832/CCS|F_and_m177661/289/CCS|F_at_276_reversed_no_4	m329148/1832/CCS|F	Candida.full_and_partial.fasta	m177661/289/CCS|F	Debaryomyces.full_and_partial.fasta	276	no	0.0943115404439091	289
chimera_m133649/674/CCS|F_and_m65970/282/CCS|F_at_47_reversed_no_5	m133649/674/CCS|F	Candida.full_and_partial.fasta	m65970/282/CCS|F	Thermomyces.full_and_partial.fasta	47	no	0.028012038756796212	282
chimera_m384581/1518/CCS|F_and_m98725/291/CCS|F_at_46_reversed_no_6	m384581/1518/CCS|F	Candida.full_and_partial.fasta	m98725/291/CCS|F	Oedocephalum.full_and_partial.fasta	46	no	0.047608432345507906	291
chimera_m273970/1137/CCS|F_and_m104912/303/CCS|F_at_87_reversed_no_7	m273970/1137/CCS|F	Candida.full_and_partial.fasta	m104912/303/CCS|F	Xanthoporia.full_and_partial.fasta	87	no	0.03352115254903307	303
chimera_m194845/1149/CCS|F_and_m253327/1401/CCS|F_at_252_reversed_no_0	m194845/1149/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m253327/1401/CCS|F	Microbotryum.full_and_partial.fasta	252	no	0.07357113124576309	462
chimera_m147421/1321/CCS|F_and_m274032/1464/CCS|F_at_330_reversed_no_1	m147421/1321/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m274032/1464/CCS|F	Cystobasidium_laryngis_1.full_and_partial.fasta	330	no	0.02245021898950715	416
chimera_m128759/1985/CCS|F_and_m202147/589/CCS|F_at_350_reversed_no_2	m128759/1985/CCS|F	Rhizopogon_roseolus_1.full_and_partial.fasta	m202147/589/CCS|F	Trechispora_hymenocystis_1.full_and_partial.fasta	350	no	0.08356355549455838	407
chimera_m21995/1987/CCS|F_and_m139557/313/CCS|F_at_365_reversed_no_0	m21995/1987/CCS|F	Byssoporia.full_and_partial.fasta	m139557/313/CCS|F	Absidia_caerulea_1.full_and_partial.fasta	365	no	0.07197423297869354	365
chimera_m19255/1198/CCS|F_and_m269875/660/CCS|F_at_368_reversed_no_1	m19255/1198/CCS|F	Byssoporia.full_and_partial.fasta	m269875/660/CCS|F	Cystfiloba.full_and_partial.fasta	368	no	0.07061831405103458	368
chimera_m166091/1374/CCS|F_and_m170234/285/CCS|F_at_24_reversed_no_2	m166091/1374/CCS|F	Byssoporia.full_and_partial.fasta	m170234/285/CCS|F	Symmetrospora_symmetrica_1.full_and_partial.fasta	24	no	0.09688237150954816	285
chimera_m293828/819/CCS|F_and_m222213/363/CCS|F_at_243_reversed_no_3	m293828/819/CCS|F	Byssoporia.full_and_partial.fasta	m222213/363/CCS|F	Amanita.full_and_partial.fasta	243	no	0.02485251199921107	363
chimera_m102707/1005/CCS|F_and_m16558/1057/CCS|F_at_95_reversed_no_4	m102707/1005/CCS|F	Byssoporia.full_and_partial.fasta	m16558/1057/CCS|F	Cenococcum.full_and_partial.fasta	95	no	0.08122166349697632	373
chimera_m360153/1275/CCS|F_and_m71796/278/CCS|F_at_225_reversed_yes_0	m360153/1275/CCS|F	Cladophialophora.full_and_partial.fasta	m71796/278/CCS|F	Xylodon.full_and_partial.fasta	225	yes	0.07652810186637651	278
chimera_m139736/853/CCS|F_and_m170504/302/CCS|F_at_94_reversed_no_1	m139736/853/CCS|F	Cladophialophora.full_and_partial.fasta	m170504/302/CCS|F	Russula.full_and_partial.fasta	94	no	0.05643413629215419	302
chimera_m268384/1393/CCS|F_and_m271729/273/CCS|F_at_115_reversed_no_2	m268384/1393/CCS|F	Cladophialophora.full_and_partial.fasta	m271729/273/CCS|F	Tomentella.full_and_partial.fasta	115	no	0.01510363994078466	273
chimera_m148323/1043/CCS|F_and_m38224/285/CCS|F_at_206_reversed_no_3	m148323/1043/CCS|F	Cladophialophora.full_and_partial.fasta	m38224/285/CCS|F	Trech_stell.full_and_partial.fasta	206	no	0.022451163241873476	285
chimera_m140731/1381/CCS|F_and_m144946/303/CCS|F_at_41_reversed_no_4	m140731/1381/CCS|F	Cladophialophora.full_and_partial.fasta	m144946/303/CCS|F	Albatrellus.full_and_partial.fasta	41	no	0.041854790011589475	303
chimera_m39702/969/CCS|F_and_m223012/297/CCS|F_at_14_reversed_no_5	m39702/969/CCS|F	Cladophialophora.full_and_partial.fasta	m223012/297/CCS|F	Xylodon.full_and_partial.fasta	14	no	0.013621841849590269	297
chimera_m438510/1144/CCS|F_and_m4435/319/CCS|F_at_288_reversed_no_6	m438510/1144/CCS|F	Cladophialophora.full_and_partial.fasta	m4435/319/CCS|F	Rhizoclosmatium.full_and_partial.fasta	288	no	0.03281637679539688	319
chimera_m67525/720/CCS|F_and_m192229/382/CCS|F_at_133_reversed_no_0	m67525/720/CCS|F	Ganoderma.full_and_partial.fasta	m192229/382/CCS|F	Absidia.full_and_partial.fasta	133	no	0.0722167952838002	382
chimera_m177798/1105/CCS|F_and_m12283/285/CCS|F_at_304_reversed_no_1	m177798/1105/CCS|F	Ganoderma.full_and_partial.fasta	m12283/285/CCS|F	Exidia.full_and_partial.fasta	304	no	0.08648001338101632	304
chimera_m233626/1427/CCS|F_and_m63175/732/CCS|T_at_313_reversed_no_2	m233626/1427/CCS|F	Ganoderma.full_and_partial.fasta	m63175/732/CCS|T	Cenococcum.full_and_partial.fasta	313	no	0.03963306242327445	356
chimera_m211342/952/CCS|F_and_m146903/333/CCS|F_at_169_reversed_no_0	m211342/952/CCS|F	Arcticomyces.full_and_partial.fasta	m146903/333/CCS|F	Plicaturopsis.full_and_partial.fasta	169	no	0.08452712322101018	333
chimera_m251317/601/CCS|F_and_m272483/271/CCS|F_at_321_reversed_no_1	m251317/601/CCS|F	Arcticomyces.full_and_partial.fasta	m272483/271/CCS|F	Hypholoma.full_and_partial.fasta	321	no	0.040155293456061225	321
chimera_m415056/600/CCS|F_and_m192950/282/CCS|F_at_82_reversed_no_2	m415056/600/CCS|F	Arcticomyces.full_and_partial.fasta	m192950/282/CCS|F	Leccinum_piceinum_1.full_and_partial.fasta	82	no	0.055656910558069456	282
chimera_m336021/849/CCS|F_and_m48441/323/CCS|F_at_328_reversed_no_3	m336021/849/CCS|F	Arcticomyces.full_and_partial.fasta	m48441/323/CCS|F	Taphrina.full_and_partial.fasta	328	no	0.0831475108272035	328
chimera_m134266/1234/CCS|F_and_m8494/325/CCS|F_at_176_reversed_no_4	m134266/1234/CCS|F	Arcticomyces.full_and_partial.fasta	m8494/325/CCS|F	Anthracocystis.full_and_partial.fasta	176	no	0.00960069194268219	325
chimera_m238185/1183/CCS|F_and_m195802/1250/CCS|F_at_100_reversed_no_0	m238185/1183/CCS|F	Fomitopsis.full_and_partial.fasta	m195802/1250/CCS|F	Microbotryum.full_and_partial.fasta	100	no	0.054622112391865665	375
chimera_m256286/1253/CCS|F_and_m114185/502/CCS|F_at_290_reversed_no_1	m256286/1253/CCS|F	Fomitopsis.full_and_partial.fasta	m114185/502/CCS|F	Naganishia_vaughanmartiniae_1.full_and_partial.fasta	290	no	0.07168996175438626	379
chimera_m131248/1063/CCS|F_and_m69879/323/CCS|F_at_101_reversed_no_0	m131248/1063/CCS|F	Exidia.full_and_partial.fasta	m69879/323/CCS|F	Otidea.full_and_partial.fasta	101	no	0.04101285231289339	323
chimera_m149253/1307/CCS|F_and_m289237/330/CCS|F_at_262_reversed_no_1	m149253/1307/CCS|F	Exidia.full_and_partial.fasta	m289237/330/CCS|F	Ustilago_filiformis_1.full_and_partial.fasta	262	no	0.006347500038768425	330
chimera_m119455/1293/CCS|F_and_m95887/1195/CCS|F_at_227_reversed_no_0	m119455/1293/CCS|F	Chrysomyxa.full_and_partial.fasta	m95887/1195/CCS|F	Filobasidium.full_and_partial.fasta	227	no	0.07091059120074569	386
chimera_m34387/1425/CCS|F_and_m3727/716/CCS|F_at_362_reversed_no_1	m34387/1425/CCS|F	Chrysomyxa.full_and_partial.fasta	m3727/716/CCS|F	Rhamphospora.full_and_partial.fasta	362	no	0.0812698838148104	397
chimera_m190277/923/CCS|F_and_m159799/311/CCS|F_at_5_reversed_no_0	m190277/923/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m159799/311/CCS|F	Exophiala_sal.full_and_partial.fasta	5	no	0.06596330351496196	311
chimera_m8918/794/CCS|F_and_m25420/366/CCS|F_at_87_reversed_no_1	m8918/794/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m25420/366/CCS|F	Cystofilobasidium.full_and_partial.fasta	87	no	0.08164915782845882	366
chimera_m139433/1021/CCS|F_and_m267725/406/CCS|F_at_345_reversed_no_2	m139433/1021/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m267725/406/CCS|F	Symmetrospora_symmetrica_1.full_and_partial.fasta	345	no	0.03404206481130566	364
chimera_m242144/1793/CCS|F_and_m31433/455/CCS|F_at_55_reversed_no_3	m242144/1793/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m31433/455/CCS|F	Gjaerumia.full_and_partial.fasta	55	no	0.062023945220056796	397
chimera_m226761/1576/CCS|F_and_m30604/808/CCS|F_at_52_reversed_no_4	m226761/1576/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m30604/808/CCS|F	Exobasidium.full_and_partial.fasta	52	no	0.009027001102800233	393
chimera_m238817/1715/CCS|F_and_m157953/267/CCS|F_at_311_reversed_no_5	m238817/1715/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m157953/267/CCS|F	Peniophora_quercina_1.full_and_partial.fasta	311	no	0.023491199909923238	311
chimera_m135383/1188/CCS|F_and_m70887/421/CCS|F_at_320_reversed_no_6	m135383/1188/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m70887/421/CCS|F	Rhodosporidiobolus.full_and_partial.fasta	320	no	0.013508724763565821	380
chimera_m264306/599/CCS|F_and_m256922/288/CCS|F_at_149_reversed_no_7	m264306/599/CCS|F	Suillus_luteus_1.full_and_partial.fasta	m256922/288/CCS|F	Cystofilobasidium_lari-marini_1.full_and_partial.fasta	149	no	0.05361346921537712	288
chimera_m45721/1322/CCS|F_and_m272868/998/CCS|F_at_223_reversed_no_0	m45721/1322/CCS|F	Cerrena.full_and_partial.fasta	m272868/998/CCS|F	Cystofilobasidium_lari-marini_1.full_and_partial.fasta	223	no	0.022169185051421403	360
chimera_m69502/886/CCS|F_and_m354726/331/CCS|F_at_38_reversed_no_1	m69502/886/CCS|F	Cerrena.full_and_partial.fasta	m354726/331/CCS|F	Rhizophydium.full_and_partial.fasta	38	no	0.08305184834508228	331
chimera_m22081/979/CCS|F_and_m76358/358/CCS|F_at_157_reversed_no_2	m22081/979/CCS|F	Cerrena.full_and_partial.fasta	m76358/358/CCS|F	Knufia.full_and_partial.fasta	157	no	0.07790863718275096	358
chimera_m68565/1399/CCS|F_and_m38512/368/CCS|F_at_32_reversed_no_3	m68565/1399/CCS|F	Cerrena.full_and_partial.fasta	m38512/368/CCS|F	Cystofilobasidium.full_and_partial.fasta	32	no	0.01984791899993356	368
chimera_m138240/1586/CCS|F_and_m66085/306/CCS|F_at_350_reversed_no_4	m138240/1586/CCS|F	Cerrena.full_and_partial.fasta	m66085/306/CCS|F	Exidia.full_and_partial.fasta	350	no	0.05346381958733792	350
chimera_m87772/988/CCS|F_and_m179119/1142/CCS|F_at_220_reversed_yes_0	m87772/988/CCS|F	Minutisphaera.full_and_partial.fasta	m179119/1142/CCS|F	Symmetrospora_symmetrica_1.full_and_partial.fasta	220	yes	0.011044985033854413	349
chimera_m8088/751/CCS|F_and_m220510/364/CCS|F_at_286_reversed_no_0	m8088/751/CCS|F	Sphagnurus.full_and_partial.fasta	m220510/364/CCS|F	Tapinella.full_and_partial.fasta	286	no	0.030210779570442325	364
